B04	B03	B28	B29	B05	B07	B06	B08	B13	B09	B10	B12	B23	B16	B02	B19	B20	B21	B22	B14	B24	B25	B26	B27
書目識別號(不得修改)	書名	並列題名	分類號類型	分類號	作者	作者號	版本	語言別	出版地	出版社	出版年	裝訂別	價格	ISBN	面寬數	高寬	圖表	附件	稽核項	集叢項	附註項	主題項	追尋項
B01	B04	B03	B53	B54	B55	B56	B57	B58	B52	B59	B60	B61	B62	B63
館藏登錄號(不得重複)	書目識別號	書名(不得修改)	館藏狀態	流通別	資料別	特藏號	冊次號	複本號	排架號	館藏地	來源別	捐贈者	附件	新增日期
00000241	000241	建築-日本	報廢		一般圖書			v3		"本館藏書	"				91-05-02
00000242	000242	建築-倫敦	館內架上		一般圖書			v4		"本館藏書	"				91-05-02
00000243	000243	建築-柏林	館內架上		一般圖書			v5		"本館藏書	"				91-05-02
00000244	000244	建築-柏林	館內架上		一般圖書			v6		"本館藏書	"				91-05-02
00000245	000245	建築-西亞.埃及.愛琴海	報廢		一般圖書			v7		"本館藏書	"				91-05-02
00000246	000246	建築-馬德里	館內架上		一般圖書			v8		"本館藏書	"				91-05-02
00000247	000247	建築-古希臘	館內架上		一般圖書			v9		"本館藏書	"				91-05-02
00000248	000248	建築-里斯本	館內架上		一般圖書			v10		"本館藏書	"				91-05-02
00000249	000249	建築-米蘭	館內架上		一般圖書			v11		"本館藏書	"				91-05-02
00000250	000250	建築-雅典	館內架上		一般圖書			v12		"本館藏書	"				91-05-02
00000251	000251	建築-布達佩斯	館內架上		一般圖書			v13		"本館藏書	"				91-05-02
00000252	000252	建築-維也納	館內架上		一般圖書			v14		"本館藏書	"				91-05-02
00000253	000253	建築-牛津	館內架上		一般圖書			v15		"本館藏書	"				91-05-02
00000254	000254	建築-ART倫敦	館內架上		一般圖書			v16		"本館藏書	"				91-05-02
00000255	000255	建築-香港	館內架上		一般圖書			v17		"本館藏書	"				91-05-02
00000256	000256	建築-南非	館內架上		一般圖書			v18		"本館藏書	"				91-05-02
00000257	000257	漫畫台灣史	館內架上		一般圖書			V1		"本館藏書	"				91-05-07
00000258	000258	漫畫台灣史	館內架上		一般圖書			V2		"本館藏書	"				91-05-07
00000259	000259	漫畫台灣史	館內架上		一般圖書			V3		"本館藏書	"				91-05-07
00000260	000260	漫畫台灣史	館內架上		一般圖書			V4		"本館藏書	"				91-05-07
00000261	000261	漫畫台灣史	館內架上		一般圖書			V5		"本館藏書	"				91-05-07
00000262	000262	漫畫台灣史	遺失		一般圖書			V6		"本館藏書	"				91-05-07
00000263	000263	漫畫台灣史	館內架上		一般圖書			V7		"本館藏書	"				91-05-07
00000264	000264	漫畫台灣史	館內架上		一般圖書			V8		"本館藏書	"				91-05-07
00000265	000265	漫畫台灣史	館內架上		一般圖書			V9		"本館藏書	"				91-05-07
00000266	000266	漫畫台灣史	館內架上		一般圖書			V10		"本館藏書	"				91-05-07
00000267	000267	Y不急逛畫廊	報廢		一般圖書			c1		"本館藏書	"				91-05-07
00000268	000268	木雕.暢意.李松林	館內架上		一般圖書			v1		"本館藏書	"				91-05-07
00000269	000269	小胚胎的夢	報廢		一般圖書			c1		"本館藏書	"				91-05-07
00000270	000270	小胚胎的夢	報廢		一般圖書			c2		"本館藏書	"				91-05-07
00000271	000271	最後的山羊	報廢		一般圖書			c1		"本館藏書	"				91-05-07
00000272	000272	最後的山羊	報廢		一般圖書			c2		"本館藏書	"				91-05-07
00000273	000273	藝術家的驚奇視窗	報廢		一般圖書			c1		"本館藏書	"				91-05-07
00000274	000274	香草栽培事典	報廢		一般圖書			v1		"本館藏書	"				91-05-07
00000275	000275	認識新朋友	報廢		一般圖書			c1		"本館藏書	"				91-05-07
00000276	000276	健康你我他	已被預約		一般圖書			v1		"本館藏書	"				91-05-07
00000277	000278	拜訪巴蘇亞的故鄉	報廢		一般圖書			c1		"本館藏書	"				91-05-09
00000278	000279	拜訪巴蘇亞的故鄉	報廢		一般圖書			c2		"本館藏書	"				91-05-09
00000279	000280	草鞋墩的故事	報廢		一般圖書			c1		"本館藏書	"				91-05-09
00000280	000281	小花真是慢吞吞	報廢		一般圖書			c2		"本館藏書	"				91-05-09
00000281	000282	閱讀自然景關	館內架上		一般圖書			c1		"本館藏書	"				91-05-09
00000282	000283	閱讀自然景關	報廢		一般圖書			c2		"本館藏書	"				91-05-09
00000283	000284	十隻小青蛙	報廢		一般圖書			c1		"本館藏書	"				91-05-09
00000284	000285	十隻小青蛙	報廢		一般圖書			c2		"本館藏書	"				91-05-09
00000285	000286	貝殼化石	報廢		一般圖書			c1		"本館藏書	"				91-05-09
00000286	000287	貝殼化石	報廢		一般圖書			c2		"本館藏書	"				91-05-09
00000287	000288	小島上的海鷗-鳳頭燕鷗	報廢		一般圖書			c1		"本館藏書	"				91-05-09
00000288	000289	小島上的海鷗-鳳頭燕鷗	報廢		一般圖書			c2		"本館藏書	"				91-05-09
00000289	000290	尋找暖暖的祕密	報廢		一般圖書			c1		"本館藏書	"				91-05-09
00000290	000291	尋找暖暖的祕密	報廢		一般圖書			c2		"本館藏書	"				91-05-09
00000291	000292	朗文中華文化風俗圖解辭典	報廢		一般圖書			C1		"本館藏書	"				91-05-10
00000292	000293	用愛心說實話	館內架上	一般館藏	一般圖書			c.1		"本館藏書	"	購買			91-05-10
00000293	000292	朗文中華文化風俗圖解辭典	報廢		一般圖書			C2		"本館藏書	"				91-05-10
00000294	000293	用愛心說實話	館內架上		一般圖書			C2		"本館藏書	"				91-05-10
00000295	000293	用愛心說實話	館內架上		一般圖書			C3		"本館藏書	"				91-05-10
00000296	000293	用愛心說實話	館內架上		一般圖書			C4		"本館藏書	"				91-05-10
00000297	000293	用愛心說實話	館內架上		一般圖書			C5		"本館藏書	"				91-05-10
